SPECIES,bins,size,Source
Aphaenogaster rudis,,303,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Aphaenogaster rudis,,507,"D. Lubertazzi and E. S. Adams, “Bayesian analysis of split sex ratios: methods and application to the ant Aphaenogaster rudis,” Evolutionary Ecology Research, vol. 12, no. 2, pp. 169–188, 2010."
Aphaenogaster rudis,,326,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Aphaenogaster tennesseensis,,600,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster texana,,,
Aphaenogaster treatae,,200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster treatae,,682,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Aphaenogaster treatae,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Aphaenogaster umphreyi,,,
Brachymyrmex depilis,,22,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Brachymyrmex depilis,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Brachymyrmex obscurior,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Brachymyrmex patagonicus,hundreds,300,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Brachyponera chinensis,,242,"Gotoh, A., Ito, F. Seasonal cycle of colony structure in the Ponerine ant Pachycondyla chinensis in western Japan (Hymenoptera, Formicidae). Insect. Soc. 55, 98–104 (2008). https://doi.org/10.1007/s00040-007-0977-y"
Camponotus americanus,,3560,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Camponotus caryae,,,
Camponotus castaneus,,350,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Camponotus chromaiodes,,3560,Geraghty et al 2007
Camponotus decipiens,,250,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus discolor,,70,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Camponotus floridanus,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Camponotus nearcticus,,70,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Camponotus noveboracensis,,3000,"Hansen, L. D.; Klotz, J. H. 2005. Carpenter ants of the United States and Canada. Ithaca, New York: Cornell University Press, xiii + 204 pp."
Colobopsis obliqua,,,
Camponotus pennsylvanicus,,2222,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Camponotus snellingi,,1550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus socius,,350,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Camponotus socius,,590,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Camponotus sansabeanus,,,
Camponotus subbarbatus,,3560,"Geraghty, Melissa J., R. R. Dunn, and Nathan J. Sanders. ""Body size, colony size, and range size in ants (Hymenoptera: Formicidae): are patterns along elevational and latitudinal gradients consistent with Bergmann’s rule."" Myrmecological News 10.September (2007): 51-58."
Cardiocondyla emeryi,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Cardiocondyla minutior,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Cardiocondyla obscurior,,250,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Cardiocondyla venustula,,150,Antwiki
Cardiocondyla nuda,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Cardiocondyla wroughtonii,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Colobopsis impressa,,180,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Colobopsis mississippiensis,"18 soldiers, 48 workers, 45 pupae, 151 larvae and 40 egg",66,"Tynes, James S., and Ross E. Hutchins. “Studies of Plant-Nesting Ants in East Central Mississippi.” The American Midland Naturalist, vol. 72, no. 1, 1964, pp. 152–56. JSTOR, https://doi.org/10.2307/2423219. Accessed 17 May 2023."
Crematogaster ashmeadi,,3260,"Mason, Keith S., Christina L. Kwapich, and Walter R. Tschinkel. 2015. “Respiration, Worker Body Size, Tempo and Activity in Whole Colonies of Ants.” Physiological Entomology 40 (2): 149–65."
Crematogaster ashmeadi,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster ashmeadi,,500,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster atkinsoni,,500,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster cerasi,hundreds of workers,,
Crematogaster laeviuscula,"16 to 308, average 128",308,
Crematogaster lineolata,,15,Doug Booher Collection
Crematogaster lineolata,,178,Doug Booher Collection
Crematogaster lineolata,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster minutissima,,313,Doug Booher Collection
Crematogaster minutissima,,208,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Crematogaster minutissima,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster missouriensis,,,
Crematogaster pilosa,,807,"Loken, Luke C., and Samantha K. Oliver. 2016. “Habitat Requirements and Occurrence of Crematogaster Pilosa (Hymenoptera: Formicidae) Ants within Intertidal Salt Marshes.” Florida Entomologist 99 (1): 82–88."
Crematogaster pinicola,,40000,"Tschinkel 2002 paper, used conservative estimate but the max from this. Deyrup talks about how tschinkl's paper is likely on pinicola and not ashmeadi"
Crematogaster vermiculata,,1085,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Cryptopone gilva,,100,Antwiki
Cyphomyrmex rimosus,,150,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Discothyrea testacea,,15,Antwiki
Dolichoderus mariae,,1265000,"Laskis, Kristina O., and Walter R. Tschinkel. 2009. “The Seasonal Natural History of the Ant, Dolichoderus Mariae, in Northern Florida.” Journal of Insect Science 9: 2."
Dolichoderus plagiatus,,779,"Kannowski, P. B. 1967. Colony populations of two species of Dolichoderus (Hymenoptera: Formicidae). Annals of the Entomological Society of America 60:1246-1252."
Dolichoderus pustulatus,,1299,"Kannowski, P. B. 1967. Colony populations of two species of Dolichoderus (Hymenoptera: Formicidae). Annals of the Entomological Society of America 60:1246-1252."
Dolichoderus taschenbergi,,,
Dorymyrmex elegans,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex flavopectus,,,
Dorymyrmex flavus,,1000,Kaspari & Valone (2002)
Dorymyrmex insanus,,500,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Dorymyrmex reginicula,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex bossutus,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex bureni,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex grandulus,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Dorymyrmex smithi,,,
Eurhopalothrix floridana,,100,Booher
Forelius mccooki,,5000,"Mehdiabadi, Natasha J., and Lawrence E. Gilbert. ""Colony–level impacts of parasitoid flies on fire ants."" Proceedings of the Royal Society of London. Series B: Biological Sciences 269.1501 (2002): 1695-1699."
Forelius pruinosus,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica archboldi,,1210,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Formica archboldi,,500,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica archboldi,,493,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica argentea,,,
Formica biophilica,,,
Formica difficilis,,,
Formica dolosa,,630,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica exsectoides,,1600,antwiki
Formica fusca,,500,"Beckers R., Goss, S., Deneubourg, J.L., Pasteels, J.M. 1989. Colony size, communication and ant foraging Strategy. Psyche 96: 239-256 (doi:10.1155/1989/94279)."
Formica incerta,540 to 7049,7049,
Formica integra,,,
Formica neorufibarbiis,,500,antwiki
Formica obscuriventris,,,
Formica pallidefulva,,424,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Formica rubicunda,,,
Formica scitula,,,
Formica subintegra,slave maker,300,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Formica subsericea,,8916,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Gnamptogenys triangularis,,100,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Hypoponera inexorata,,12,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Hypoponera inexorata,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Hypoponera opaciceps,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Hypoponera opaciceps,,40,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Hypoponera opacior,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Hypoponera punctatissima,,102,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Lasius americanus,,3000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Lasius aphidicola,,3000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Lasius brevicornis,,,
Lasius claviger,,,
Lasius interjectus,,,
Lasius murphyi,social parasite,,
Lasius nearcticus,mor ethan 200 workers,200,
Lasius neoniger,10 - 100,100,"Wang, Dong, et al. ""Nest structure of ant Lasius neoniger Emery and its implications to soil modification."" Geoderma 66.3-4 (1995): 259-272."
Lasius pallitarsis,,,
Lasius plumopilosus,social parasite,,
Lasius pubescens,social parasite,,
Lasius speculiventris,,,
Lasius subglaber,,,
Leptogenys manni,,,
Linepithema humile,,15000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Leptogenys manni,,,
Trichomyrmex destructor,,,
Monomorium ebeninum,,,
Monomorium floricola,,,
Monomorium minimum,,3000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium pharaonis,,800,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium pharaonis,,2382,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Monomorium viridum,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Myrmecina americana,,24,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Myrmecina americana,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Myrmecina cooperi,,,
Myrmecina davison,,25,Doug Booher Collection
Myrmica americana,,226,"Elmes, G. W., and Judith C. Wardlaw. “A Population Study of the Ants Myrmica Sabuleti and Myrmica Scabrinodis, Living at Two Sites in the South of England. I. A Comparison of Colony Populations.” Journal of Animal Ecology, vol. 51, no. 2, 1982, pp. 651–64. JSTOR, https://doi.org/10.2307/3989. Accessed 17 May 2023."
Myrmica fracticornis,greater than 5000,5000,"Glasier, James RN, Scott E. Nielsen, and John H. Acorn. ""The real “fire ants”: colony size and body size of workers influence the fate of boreal sand hill ants (Hymenoptera: Formicidae) after wildfires in Alberta, Canada."" The Canadian Entomologist 147.4 (2015): 396-404."
Myrmica incompleta,,,
Myrmica latifrons,,1000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Myrmica pinetorum,,396,"Geraghty, Melissa J., R. R. Dunn, and Nathan J. Sanders. ""Body size, colony size, and range size in ants (Hymenoptera: Formicidae): are patterns along elevational and latitudinal gradients consistent with Bergmann’s rule."" Myrmecological News 10.September (2007): 51-58."
Myrmica punctiventris,,13,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Myrmica punctiventris,,86,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Myrmica punctiventris,,50,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Myrmica spatulata,,296,"Geraghty, Melissa J., R. R. Dunn, and Nathan J. Sanders. ""Body size, colony size, and range size in ants (Hymenoptera: Formicidae): are patterns along elevational and latitudinal gradients consistent with Bergmann’s rule."" Myrmecological News 10.September (2007): 51-58."
Neivamyrmex carolinensis,,110000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Neivamyrmex carolinensis,,30000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Neivamyrmex nigrescens,,10000,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Neivamyrmex nigrescens,,30000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Neivamyrmex nigrescens,,110000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Neivamyrmex opacithorax,,30000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Neivamyrmex texanus,,30000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia arenivaga,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia bourbonica,,200,pers comm JL Williams
Nylanderia concinna,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia faisonensis,,268,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Nylanderia faisonensis,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia fulva,thousands,300000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Nylanderia parasitica,,,
Nylanderia parvula,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia phantasma,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Nylanderia pubens,,200,pers comm j williams
Nylanderia trageri,assuming it was considered parvula,100,
Nylanderia vividula,,200,pers comm JL Williams
Nylanderia wojciki,,100,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Odontomachus brunneus,,72,"Cerquera, Lina M., and Walter R. Tschinkel. 2010. “The Nest Architecture of the Ant Odontomachus Brunneus.” Journal of Insect Science  10: 64."
Odontomachus brunneus,,65,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Odontomachus brunneus,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Paratrechina longicornis,,2000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pheidole adrianoi,,350,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole adrianoi,,300,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole bicarinata,,200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole bilimeki,600–4000,2300,"Ivanov, Kaloyan. ""Exotic ants (Hymenoptera, Formicidae) of Ohio."" Journal of Hymenoptera Research 51 (2016): 203-226."
Pheidole carrolli,,,
Pheidole crassicornis,,1000,Antweb
Pheidole dentata,,800,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole dentata,,946,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Pheidole davisi,,,
Pheidole dentigula,,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole flavens,,1500,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole lamia,,1200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole littoralis,,,
Pheidole metallescens,,534,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Pheidole metallescens,,1000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Pheidole megacephala,,100000,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Pheidole morrisii,,2500,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98., King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
